Timestamp,Memory_Used_MB,Memory_Available_MB,CPU_Load
1752730551,45847,18465,7.21
1752730555,45847,18465,6.96
1752730557,45813,18498,6.96
1752730560,45812,18499,6.96
1752730562,45820,18491,6.72
1752730564,45802,18510,6.72
1752730566,45797,18515,6.34
1752730568,45805,18506,6.34
1752730570,45815,18497,6.34
1752730572,45821,18490,5.99
1752730574,45814,18497,5.99
1752730576,45504,18808,5.59
1752730578,45517,18795,5.59
1752730580,45522,18789,5.59
1752730582,45510,18802,5.22
1752730584,45545,18767,5.22
1752730586,45548,18764,5.05
1752730589,45682,18630,5.05
1752730591,45686,18626,4.88
1752730593,45702,18610,4.88
1752730595,45699,18613,4.88
1752730597,45684,18628,4.65
1752730599,45692,18620,4.65
1752730601,45694,18618,4.36
1752730603,45686,18626,4.36
1752730605,45671,18641,4.36
1752730607,45662,18649,4.09
1752730609,45680,18631,4.09
1752730611,45676,18636,3.84
1752730613,45649,18663,3.84
1752730616,45706,18606,3.69
1752730618,45737,18575,3.69
1752730620,45726,18586,3.69
1752730622,45686,18626,3.72
1752730624,45746,18566,3.72
1752730626,45744,18568,3.50
1752730628,45740,18571,3.50
1752730630,45742,18570,3.50
1752730632,45774,18538,3.62
1752730634,45761,18551,3.62
1752730636,45427,18884,3.41
1752730638,45436,18875,3.41
1752730640,45444,18868,3.62
1752730642,45450,18862,3.62
1752730645,45435,18876,3.62
1752730647,45422,18889,3.57
1752730649,45425,18886,3.57
1752730651,45345,18966,3.44
1752730653,45359,18953,3.44
1752730655,45329,18983,3.44
1752730657,45340,18971,3.49
1752730659,45331,18980,3.49
1752730661,45339,18972,3.37
1752730663,45332,18979,3.37
1752730665,45335,18977,3.37
1752730667,45327,18984,3.18
1752730669,45348,18964,3.18
1752730672,45340,18971,3.65
1752730674,45305,19007,3.65
1752730676,45313,18998,3.51
1752730678,45310,19001,3.51
1752730680,45355,18956,3.51
1752730682,45538,18784,3.39
1752730684,45317,18995,3.39
1752730686,45323,18989,3.20
1752730688,45143,19184,3.20
1752730690,45047,19265,3.20
1752730692,45059,19252,3.02
1752730694,45003,19309,3.02
1752730697,45009,19303,2.86
1752730699,45015,19297,2.86
1752730701,45027,19285,2.79
1752730703,45097,19213,2.79
1752730705,45298,19014,2.79
1752730707,45344,18966,3.69
1752730709,45382,18925,3.69
1752730711,45384,18927,5.08
1752730714,45239,19071,5.08
1752730716,43653,20659,5.15
1752730718,43774,20536,5.15
1752730720,43740,20557,5.15
1752730722,43916,20395,5.14
1752730724,43914,20398,5.14
1752730726,43918,20394,5.05
1752730728,43929,20383,5.05
1752730730,43851,20461,5.05
1752730732,43859,20453,5.60
1752730734,43860,20467,5.60
1752730737,43515,20797,5.31
1752730739,43437,20864,5.31
1752730741,43960,20346,6.57
1752730743,44144,20167,6.57
1752730745,44178,20134,6.57
1752730747,44190,20122,6.21
1752730749,44194,20118,6.21
1752730751,44207,20104,5.79
1752730753,44227,20084,5.79
1752730755,44235,20077,5.79
1752730757,44164,20148,5.56
1752730760,44149,20162,5.56
1752730762,44156,20155,7.28
1752730764,43944,20368,7.28
1752730766,44013,20296,7.10
1752730768,44062,20249,7.10
1752730770,44068,20243,7.10
1752730772,44028,20284,6.61
1752730774,44050,20262,6.61
1752730776,42914,21398,6.16
1752730778,42761,21550,6.16
1752730780,42784,21528,6.16
1752730782,42669,21642,5.75
1752730784,42562,21750,5.75
1752730786,42576,21735,5.37
1752730789,42588,21724,5.37
1752730791,42582,21730,5.10
1752730793,42582,21729,5.10
1752730795,42632,21679,5.10
1752730797,42027,22284,4.77
1752730799,42109,22202,4.77
1752730801,42153,22158,4.63
1752730803,42164,22148,4.63
1752730805,42178,22133,4.63
1752730807,42191,22121,4.74
1752730809,42085,22226,4.74
1752730811,42047,22265,4.60
1752730813,42100,22212,4.60
1752730815,42083,22229,4.47
1752730818,41801,22511,4.47
1752730820,41789,22523,4.47
1752730822,41153,23158,4.83
1752730824,40131,24181,4.83
1752730826,40163,24143,4.93
1752730828,40240,24071,4.93
1752730830,40239,24073,4.93
1752730832,40239,24073,4.77
1752730834,40274,24035,4.77
1752730836,40324,23988,4.63
1752730838,40360,23951,4.63
1752730841,40368,23944,4.34
1752730843,40360,23952,4.34
1752730845,40320,24008,4.34
1752730847,40316,23995,4.15
1752730849,40278,24030,4.15
